venta_id,fecha,hora,cliente_id,producto_id,cantidad,precio_unitario,subtotal,descuento_aplicado,total,fecha_carga,fuente_dato,nombre_producto,categoria,precio_catalogo,nombre_cliente,apellido,ciudad,es_premium,diferencia_precio,descuento_valor,categoria_venta
VEN0001,2025-02-03,18:27,CLI018,PROD014,4,45.51,182.04,0.0,182.04,2026-03-22 19:31:25,ventas,Zapatillas Deportivas,Ropa,45.51,Juan,Sánchez,Sevilla,False,0.0,0.0,Alta
VEN0002,2025-02-06,08:16,CLI049,PROD030,3,19.67,59.01,0.0,59.01,2026-03-22 19:31:25,ventas,Velas Aromáticas Pack 3,Hogar,19.67,Juan,Ramírez,Valencia,False,0.0,0.0,Media
VEN0003,2025-02-07,15:20,CLI044,PROD002,4,63.2,252.8,0.0,252.8,2026-03-22 19:31:25,ventas,Mouse Inalámbrico,Electrónica,63.2,María,Díaz,Sevilla,False,0.0,0.0,Alta
VEN0004,2025-02-09,20:53,CLI054,PROD050,3,23.47,70.41,0.0,70.41,2026-03-22 19:31:25,ventas,Thriller Político,Libros,23.47,Pedro,Ramírez,Murcia,False,0.0,0.0,Media
VEN0005,2025-02-27,09:30,CLI003,PROD036,5,15.99,79.95,0.0,79.95,2026-03-22 19:31:25,ventas,Guantes Gym,Deportes,15.99,Juan,López,Valencia,False,0.0,0.0,Media
VEN0006,2025-02-02,13:14,CLI084,PROD036,1,15.99,15.99,0.1,14.39,2026-03-22 19:31:25,ventas,Guantes Gym,Deportes,15.99,Juan,Flores,Bilbao,True,0.0,1.5990000000000002,Baja
VEN0007,2025-02-25,18:02,CLI097,PROD009,1,27.92,27.92,0.1,25.13,2026-03-22 19:31:25,ventas,Adaptador HDMI,Electrónica,27.92,Javier,Díaz,Sevilla,True,0.0,2.7920000000000003,Baja
VEN0008,2025-02-08,11:53,CLI003,PROD005,5,20.65,103.25,0.0,103.25,2026-03-22 19:31:25,ventas,Cable USB-C,Electrónica,20.65,Juan,López,Valencia,False,0.0,0.0,Media
VEN0009,2025-02-05,11:08,CLI061,PROD035,1,12.5,12.5,0.1,11.25,2026-03-22 19:31:25,ventas,Banda Elástica,Deportes,12.5,Ana,López,Málaga,True,0.0,1.25,Baja
VEN0010,2025-02-19,11:29,CLI090,PROD045,3,31.91,95.73,0.0,95.73,2026-03-22 19:31:25,ventas,Manual Python,Libros,31.91,Diego,González,Murcia,False,0.0,0.0,Media
VEN0011,2025-02-25,13:10,CLI078,PROD022,5,11.31,56.55,0.1,50.9,2026-03-22 19:31:25,ventas,Toallas Pack 4,Hogar,11.31,Beatriz,Fernández,Valencia,True,0.0,5.655,Media
VEN0012,2025-02-24,19:07,CLI100,PROD042,2,30.13,60.26,0.1,54.23,2026-03-22 19:31:25,ventas,Libro Cocina,Libros,30.13,Laura,Torres,Madrid,True,0.0,6.026,Media
VEN0013,2025-02-10,09:37,CLI004,PROD048,3,21.47,64.41,0.0,64.41,2026-03-22 19:31:25,ventas,Enciclopedia Natural,Libros,21.47,Roberto,Martínez,Bilbao,False,0.0,0.0,Media
VEN0014,2025-02-19,18:58,CLI049,PROD034,4,42.78,171.12,0.0,171.12,2026-03-22 19:31:25,ventas,Cuerda Saltar,Deportes,42.78,Juan,Ramírez,Valencia,False,0.0,0.0,Alta
VEN0015,2025-02-23,11:04,CLI076,PROD016,2,57.95,115.9,0.0,115.9,2026-03-22 19:31:25,ventas,Gorra Deportiva,Ropa,57.95,Luis,González,Sevilla,False,0.0,0.0,Media
